period,product_sku,company_variation_factor,product_seasonal_factor,product_variation_factor,unusual_event_factor,realization_factor,variation_type
2004-12,WIN-3648,0.9672,0.9400,0.9839,1.0000,0.8945,typical
2004-12,DOOR-3680,0.9672,0.9900,1.0148,1.0000,0.9717,typical
2005-01,WIN-2436,0.9937,0.9600,0.9909,1.0000,0.9453,typical
2005-01,WIN-3648,0.9937,0.9500,0.9984,1.0000,0.9425,typical
2005-01,DOOR-3680,0.9937,0.9800,1.0197,1.0000,0.9930,typical
2005-02,WIN-2436,1.0164,0.9700,0.9990,1.0000,0.9850,typical
2005-02,WIN-3648,1.0164,0.9600,0.9915,1.0000,0.9674,typical
2005-02,DOOR-3680,1.0164,0.9800,0.9937,1.0000,0.9899,typical
2005-03,WIN-2436,0.9981,0.9900,0.9858,1.0000,0.9740,typical
2005-03,WIN-3648,0.9981,0.9800,0.9933,1.0000,0.9716,typical
2005-03,DOOR-3680,0.9981,0.9900,0.9834,1.0000,0.9717,typical
2005-04,WIN-2436,0.9708,1.0200,1.0144,1.0000,1.0045,typical
2005-04,WIN-3648,0.9708,1.0100,0.9911,1.0000,0.9718,typical
2005-04,DOOR-3680,0.9708,1.0000,1.0188,1.0000,0.9891,typical
2005-05,WIN-2436,0.9946,1.0400,0.9860,1.0000,1.0199,typical
2005-05,WIN-3648,0.9946,1.0400,0.9937,1.0000,1.0279,typical
2005-05,DOOR-3680,0.9946,1.0100,1.0118,1.0000,1.0164,typical
2005-06,WIN-2436,0.9600,1.0500,1.0072,1.0000,1.0152,typical
2005-06,WIN-3648,0.9600,1.0600,0.9928,1.0000,1.0102,typical
2005-06,DOOR-3680,0.9600,1.0100,0.9982,1.0000,0.9678,typical
2005-07,WIN-2436,1.0092,1.0400,1.0010,1.0000,1.0506,typical
2005-07,WIN-3648,1.0092,1.0500,0.9842,1.0000,1.0428,typical
2005-07,DOOR-3680,1.0092,1.0000,0.9927,1.0000,1.0018,typical
2005-08,WIN-2436,1.0081,1.0200,1.0013,1.0000,1.0296,typical
2005-08,WIN-3648,1.0081,1.0300,0.9902,1.0000,1.0282,typical
2005-08,DOOR-3680,1.0081,1.0200,0.9834,1.0000,1.0112,typical
2005-09,WIN-2436,1.0076,1.0000,0.9917,1.0000,0.9993,typical
2005-09,WIN-3648,1.0076,1.0100,0.9855,1.0000,1.0029,typical
2005-09,DOOR-3680,1.0076,1.0400,0.9991,1.0000,1.0470,typical
2005-10,WIN-2436,1.0535,0.9900,0.9910,1.0000,1.0336,typical
2005-10,WIN-3648,1.0535,0.9900,1.0188,1.0000,1.0626,typical
2005-10,DOOR-3680,1.0535,1.0500,1.0059,1.0000,1.1127,typical
2005-11,WIN-2436,0.9936,0.9700,1.0185,1.0000,0.9816,typical
2005-11,WIN-3648,0.9936,0.9600,0.9847,1.0000,0.9392,typical
2005-11,DOOR-3680,0.9936,1.0200,1.0043,1.0000,1.0178,typical
2005-12,WIN-2436,1.0380,0.9500,0.9967,1.0000,0.9828,typical
2005-12,WIN-3648,1.0380,0.9400,1.0075,1.0000,0.9830,typical
2005-12,DOOR-3680,1.0380,0.9900,1.0034,1.0000,1.0311,typical
2006-01,WIN-2436,0.9883,0.9600,0.9948,1.0000,0.9438,typical
2006-01,WIN-3648,0.9883,0.9500,1.0155,1.0000,0.9534,typical
2006-01,DOOR-3680,0.9883,0.9800,1.0050,1.0000,0.9734,typical
2006-02,WIN-2436,0.9999,0.9700,1.0005,1.0000,0.9705,typical
2006-02,WIN-3648,0.9999,0.9600,1.0052,1.0000,0.9649,typical
2006-02,DOOR-3680,0.9999,0.9800,0.9958,1.0000,0.9759,typical
2006-03,WIN-2436,0.9869,0.9900,0.9898,1.0000,0.9671,typical
2006-03,WIN-3648,0.9869,0.9800,1.0100,1.0000,0.9768,typical
2006-03,DOOR-3680,0.9869,0.9900,1.0132,1.0000,0.9900,typical
2006-04,WIN-2436,1.0218,1.0200,1.0149,1.0000,1.0578,typical
2006-04,WIN-3648,1.0218,1.0100,1.0066,1.0000,1.0389,typical
2006-04,DOOR-3680,1.0218,1.0000,0.9971,1.0000,1.0189,typical
2006-05,WIN-2436,1.0042,1.0400,1.0011,1.0000,1.0454,typical
2006-05,WIN-3648,1.0042,1.0400,1.0088,1.0000,1.0535,typical
2006-05,DOOR-3680,1.0042,1.0100,1.0030,1.0000,1.0172,typical
2006-06,WIN-2436,0.9197,1.0500,1.0062,1.0000,0.9717,typical
2006-06,WIN-3648,0.9197,1.0600,0.9935,1.0000,0.9686,typical
2006-06,DOOR-3680,0.9197,1.0100,1.0192,1.0000,0.9468,typical
2006-07,WIN-2436,1.0081,1.0400,1.0084,1.0000,1.0573,typical
2006-07,WIN-3648,1.0081,1.0500,0.9815,1.0000,1.0389,typical
2006-07,DOOR-3680,1.0081,1.0000,1.0190,1.0000,1.0273,typical
2006-08,WIN-2436,0.9986,1.0200,0.9873,1.0000,1.0055,typical
2006-08,WIN-3648,0.9986,1.0300,0.9805,1.0000,1.0085,typical
2006-08,DOOR-3680,0.9986,1.0200,1.0001,1.0000,1.0186,typical
2006-09,WIN-2436,0.9162,1.0000,1.0067,1.0000,0.9223,typical
2006-09,WIN-3648,0.9162,1.0100,1.0152,1.0000,0.9395,typical
2006-09,DOOR-3680,0.9162,1.0400,0.9981,1.0000,0.9510,typical
2006-10,WIN-2436,1.0196,0.9900,0.9826,1.0000,0.9918,typical
2006-10,WIN-3648,1.0196,0.9900,0.9824,1.0000,0.9917,typical
2006-10,DOOR-3680,1.0196,1.0500,0.9923,1.0000,1.0624,typical
2006-11,WIN-2436,1.0876,0.9700,0.9990,1.1500,1.2119,unusual
2006-11,WIN-3648,1.0876,0.9600,1.0181,1.1500,1.2224,unusual
2006-11,DOOR-3680,1.0876,1.0200,0.9914,1.1500,1.2500,unusual
2006-12,WIN-2436,1.0097,0.9500,0.9897,1.0000,0.9493,typical
2006-12,WIN-3648,1.0097,0.9400,1.0014,1.0000,0.9505,typical
2006-12,DOOR-3680,1.0097,0.9900,0.9938,1.0000,0.9934,typical
2007-01,WIN-2436,0.9551,0.9600,1.0081,0.8200,0.7579,unusual
2007-01,WIN-3648,0.9551,0.9500,0.9976,0.8200,0.7500,unusual
2007-01,DOOR-3680,0.9551,0.9800,1.0199,0.8200,0.7828,unusual
2007-02,WIN-2436,0.9398,0.9700,0.9874,1.0000,0.9001,typical
2007-02,WIN-3648,0.9398,0.9600,0.9907,1.0000,0.8938,typical
2007-02,DOOR-3680,0.9398,0.9800,0.9939,1.0000,0.9154,typical
2007-03,WIN-2436,1.0079,0.9900,1.0144,1.0000,1.0122,typical
2007-03,WIN-3648,1.0079,0.9800,0.9962,1.0000,0.9840,typical
2007-03,DOOR-3680,1.0079,0.9900,0.9806,1.0000,0.9785,typical
2007-04,WIN-2436,1.0760,1.0200,1.0065,1.0000,1.1047,typical
2007-04,WIN-3648,1.0760,1.0100,1.0167,1.0000,1.1049,typical
2007-04,DOOR-3680,1.0760,1.0000,0.9849,1.0000,1.0598,typical
2007-05,WIN-2436,1.0039,1.0400,0.9936,1.0000,1.0374,typical
2007-05,WIN-3648,1.0039,1.0400,0.9818,1.0000,1.0250,typical
2007-05,DOOR-3680,1.0039,1.0100,0.9817,1.0000,0.9953,typical
2007-06,WIN-2436,1.0464,1.0500,0.9971,1.0000,1.0955,typical
2007-06,WIN-3648,1.0464,1.0600,0.9925,1.0000,1.1008,typical
2007-06,DOOR-3680,1.0464,1.0100,1.0175,1.0000,1.0753,typical
2007-07,WIN-2436,1.0019,1.0400,1.0111,1.0000,1.0536,typical
2007-07,WIN-3648,1.0019,1.0500,1.0149,1.0000,1.0677,typical
2007-07,DOOR-3680,1.0019,1.0000,0.9892,1.0000,0.9911,typical
2007-08,WIN-2436,0.9928,1.0200,1.0102,1.0000,1.0230,typical
2007-08,WIN-3648,0.9928,1.0300,0.9981,1.0000,1.0206,typical
2007-08,DOOR-3680,0.9928,1.0200,0.9971,1.0000,1.0097,typical
2007-09,WIN-2436,1.0483,1.0000,1.0056,1.0000,1.0542,typical
2007-09,WIN-3648,1.0483,1.0100,1.0072,1.0000,1.0664,typical
2007-09,DOOR-3680,1.0483,1.0400,1.0110,1.0000,1.1022,typical
2007-10,WIN-2436,0.9978,0.9900,0.9951,1.0000,0.9830,typical
2007-10,WIN-3648,0.9978,0.9900,1.0164,1.0000,1.0040,typical
2007-10,DOOR-3680,0.9978,1.0500,0.9906,1.0000,1.0378,typical
2007-11,WIN-2436,0.9275,0.9700,0.9892,1.0000,0.8899,typical
2007-11,WIN-3648,0.9275,0.9600,1.0185,1.0000,0.9069,typical
2007-11,DOOR-3680,0.9275,1.0200,1.0152,1.0000,0.9604,typical
2007-12,WIN-2436,1.0165,0.9500,1.0150,1.0000,0.9801,typical
2007-12,WIN-3648,1.0165,0.9400,1.0140,1.0000,0.9689,typical
2007-12,DOOR-3680,1.0165,0.9900,1.0100,1.0000,1.0164,typical
2008-01,WIN-2436,0.9908,0.9600,1.0029,1.0000,0.9539,typical
2008-01,WIN-3648,0.9908,0.9500,0.9938,1.0000,0.9354,typical
2008-01,DOOR-3680,0.9908,0.9800,0.9822,1.0000,0.9536,typical
2008-02,WIN-2436,1.0082,0.9700,1.0140,1.0000,0.9917,typical
2008-02,WIN-3648,1.0082,0.9600,1.0181,1.0000,0.9854,typical
2008-02,DOOR-3680,1.0082,0.9800,1.0156,1.0000,1.0035,typical
2008-03,WIN-2436,0.9399,0.9900,1.0146,1.0000,0.9441,typical
2008-03,WIN-3648,0.9399,0.9800,0.9802,1.0000,0.9029,typical
2008-03,DOOR-3680,0.9399,0.9900,0.9916,1.0000,0.9226,typical
2008-04,WIN-2436,1.0325,1.0200,1.0028,1.0000,1.0560,typical
2008-04,WIN-3648,1.0325,1.0100,1.0167,1.0000,1.0602,typical
2008-04,DOOR-3680,1.0325,1.0000,1.0166,1.0000,1.0496,typical
2008-05,WIN-2436,0.9941,1.0400,1.0188,1.0000,1.0533,typical
2008-05,WIN-3648,0.9941,1.0400,1.0107,1.0000,1.0449,typical
2008-05,DOOR-3680,0.9941,1.0100,1.0162,1.0000,1.0203,typical
2008-06,WIN-2436,1.0645,1.0500,1.0063,1.0000,1.1247,typical
2008-06,WIN-3648,1.0645,1.0600,1.0060,1.0000,1.1352,typical
2008-06,DOOR-3680,1.0645,1.0100,0.9991,1.0000,1.0742,typical
2008-07,WIN-2436,0.9515,1.0400,1.0070,1.0000,0.9964,typical
2008-07,WIN-3648,0.9515,1.0500,0.9887,1.0000,0.9877,typical
2008-07,DOOR-3680,0.9515,1.0000,1.0156,1.0000,0.9663,typical
2008-08,WIN-2436,0.9914,1.0200,0.9915,1.0000,1.0026,typical
2008-08,WIN-3648,0.9914,1.0300,1.0088,1.0000,1.0301,typical
2008-08,DOOR-3680,0.9914,1.0200,1.0142,1.0000,1.0256,typical
2008-09,WIN-2436,1.0266,1.0000,0.9943,1.0000,1.0208,typical
2008-09,WIN-3648,1.0266,1.0100,1.0178,1.0000,1.0553,typical
2008-09,DOOR-3680,1.0266,1.0400,0.9895,1.0000,1.0565,typical
2008-10,WIN-2436,1.0216,0.9900,1.0083,1.0000,1.0198,typical
2008-10,WIN-3648,1.0216,0.9900,1.0034,1.0000,1.0148,typical
2008-10,DOOR-3680,1.0216,1.0500,1.0162,1.0000,1.0901,typical
2008-11,WIN-2436,1.0345,0.9700,0.9876,1.0000,0.9910,typical
2008-11,WIN-3648,1.0345,0.9600,1.0167,1.0000,1.0097,typical
2008-11,DOOR-3680,1.0345,1.0200,1.0063,1.0000,1.0617,typical
2008-12,WIN-2436,0.9809,0.9500,1.0134,1.0000,0.9443,typical
2008-12,WIN-3648,0.9809,0.9400,0.9839,1.0000,0.9072,typical
2008-12,DOOR-3680,0.9809,0.9900,1.0021,1.0000,0.9731,typical
2009-01,WIN-2436,0.9071,0.9600,1.0142,1.0000,0.8832,typical
2009-01,WIN-3648,0.9071,0.9500,1.0081,1.0000,0.8687,typical
2009-01,DOOR-3680,0.9071,0.9800,1.0078,1.0000,0.8959,typical
2009-02,WIN-2436,1.0014,0.9700,1.0124,1.0000,0.9834,typical
2009-02,WIN-3648,1.0014,0.9600,0.9948,1.0000,0.9563,typical
2009-02,DOOR-3680,1.0014,0.9800,0.9881,1.0000,0.9697,typical
2009-03,WIN-2436,1.0736,0.9900,0.9949,1.0000,1.0575,typical
2009-03,WIN-3648,1.0736,0.9800,1.0094,1.0000,1.0620,typical
2009-03,DOOR-3680,1.0736,0.9900,1.0132,1.0000,1.0769,typical
2009-04,WIN-2436,0.9911,1.0200,1.0063,1.0000,1.0172,typical
2009-04,WIN-3648,0.9911,1.0100,1.0007,1.0000,1.0017,typical
2009-04,DOOR-3680,0.9911,1.0000,0.9925,1.0000,0.9836,typical
2009-05,WIN-2436,0.9639,1.0400,0.9922,1.0000,0.9947,typical
2009-05,WIN-3648,0.9639,1.0400,0.9838,1.0000,0.9862,typical
2009-05,DOOR-3680,0.9639,1.0100,0.9815,1.0000,0.9556,typical
2009-06,WIN-2436,0.9433,1.0500,1.0115,1.0000,1.0018,typical
2009-06,WIN-3648,0.9433,1.0600,1.0075,1.0000,1.0074,typical
2009-06,DOOR-3680,0.9433,1.0100,0.9802,1.0000,0.9338,typical
2009-07,WIN-2436,1.0305,1.0400,1.0026,1.0000,1.0745,typical
2009-07,WIN-3648,1.0305,1.0500,1.0117,1.0000,1.0947,typical
2009-07,DOOR-3680,1.0305,1.0000,1.0100,1.0000,1.0408,typical
2009-08,WIN-2436,1.0311,1.0200,1.0036,1.0000,1.0555,typical
2009-08,WIN-3648,1.0311,1.0300,0.9805,1.0000,1.0413,typical
2009-08,DOOR-3680,1.0311,1.0200,1.0031,1.0000,1.0549,typical
2009-09,WIN-2436,1.0178,1.0000,0.9991,1.0000,1.0169,typical
2009-09,WIN-3648,1.0178,1.0100,1.0005,1.0000,1.0284,typical
2009-09,DOOR-3680,1.0178,1.0400,0.9852,1.0000,1.0428,typical
2009-10,WIN-2436,0.9309,0.9900,0.9855,1.0000,0.9083,typical
2009-10,WIN-3648,0.9309,0.9900,0.9863,1.0000,0.9090,typical
